word,translation,example,pronunciation,level
Сәлем,Привет,"Сәлем, қалайсың?",Са-лем,A1
Рахмет,Спасибо,Көп рахмет!,Рах-мет,A1
Отбасы,Семья,Менің отбасым үлкен.,От-ба-сы,A1
Кітап,Книга,Бұл өте қызықты кітап.,Кі-тап,A1
Мектеп,Школа,Мен мектепке барамын.,Мек-теп,A1
Мұғалім,Учитель,Ол жақсы мұғалім.,Мұ-ға-лім,A2
Оқушы,Ученик,Оқушы сабақ оқып жатыр.,О-қу-шы,A1
Дос,Друг,Менің досым бар.,Дос,A1
Үй,Дом,Бұл менің үйім.,Үй,A1
Нан,Хлеб,Нан жеймін.,Нан,A1
Су,Вода,Су ішемін.,Су,A1
Күн,День/Солнце,Бүгін күн ыстық.,Күн,A1
Түн,Ночь,Түнде ұйықтаймын.,Түн,A1
Уақыт,Время,Уақыт жоқ.,Уа-қыт,A2
Ақша,Деньги,Ақша керек.,Ақ-ша,A1
Жұмыс,Работа,Мен жұмыс істеймін.,Жұ-мыс,A1
Денсаулық,Здоровье,Денсаулық зор байлық.,Ден-сау-лық,B1
Тамақ,Еда,Тамақ дәмді.,Та-мақ,A1
Бала,Ребенок,Бала ойнап жүр.,Ба-ла,A1
Адам,Человек,Ол жақсы адам.,А-дам,A1
Ана,Мать,Анашымды жақсы көремін.,А-на,A1
Әке,Отец,Әкем жұмыста.,Ә-ке,A1
Қала,Город,Алматы - әдемі қала.,Қа-ла,A1
Көше,Улица,Көшеде адам көп.,Кө-ше,A1
Көлік,Машина/Транспорт,Көлікпен келдім.,Кө-лік,A2
